問題文,正解の選択肢,不正解の選択肢1,不正解の選択肢2,解説,削除
スマホのロックについて正しいものはどれでしょうか？,簡単に推測されないパスワードを設定する。,忘れては困るので1111などの簡単なパスワードを設定する。,誰にスマホのデータを見られても困らないのでロックはかけない。,スマホの紛失や盗難に備え、簡単に推測されないパスワードや指紋認証でロックを設定しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""032a31da0d1872c5.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
コンピュータウイルスの感染を防ぐために、最も重要な行動はどれですか？," ソフトウェアやセキュリティ対策ソフトを最新の状態に保つ",パソコンのインターネット接続を切断して使用する," アンチウイルスソフトをインストールせずに使用する",コンピュータウイルスから守るためには、OSやセキュリティソフトを最新の状態に保つことが最も効果的です。セキュリティ更新を怠ると、新たに発見された脆弱性を悪用されたり、ウイルスに感染するリスクが高くなります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""04a570575ebb0752.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
LINE（ライン）やメールで怪しいリンク付きのメッセージを受け取ったとき、どう対応すればよいでしょうか。,リンクをクリックせず、メッセージも無視もしくは削除する,メッセージにあるリンクをすぐにクリックして、お得な情報を確認する,友達に転送する," 怪しいメッセージを受け取ったら、リンクを絶対にクリックせず、そのメッセージを無視または削除することが最も安全です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""04d3f60c0d9ffa81.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
SNS（ソーシャルネットワーキングサービス）への投稿について、誤っているものはどれでしょうか。,友達の許可なく名前や写真を投稿した,投稿後、間違いに気付いたのですぐに削除した,家族にシェアをお願いした," 友達や他人の名前や写真を許可なく投稿することは、その人のプライバシーを侵害することになります。特に写真や個人情報をSNSにアップロードする際には、必ず相手の許可を得ることが大切です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""06faab2fb150107e.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
知らない番号から電話がかかってきました。次のうち、誤った対応はどれでしょうか。,待たせてしまうと失礼なので、すぐ電話に出る。,その場で電話を取らず、掛けてきた番号をインターネット等で確認する。,その場で電話を取らず、留守番電話を聞いて要件を確認する。,詐欺を目的とした電話が増えています。知らない番号から掛かってきた電話はすぐに取らず、番号から発信元を調べたり、留守番電話から要件を確認しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""0dddf31efbaece93.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
警察から「あなたの子どもが犯罪を犯しました、賠償金１００万を明日までに振り込んでください」とメールが来ました。次のうち誤っている対応はどれでしょうか。,期限が近いので、急ぎ振り込みに行く。,すぐに振り込まず、家族や知人に相談する。,警察が賠償金をメールで請求することはないので放置する。,電話口で緊急性を強調し、金銭を要求する振り込め詐欺です。一旦電話を切り、落ち着いて誰かに相談しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""17cec3f7c363e4d4.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
SNSで簡単な操作だけで気軽に稼げるという副業を見つけました。正しい行動は次のうちどれでしょうか？,登録無料と書かれていても途中から有料となる可能性があるため登録しない。,登録が無料な上、友人を紹介したら特典があるようなので友人にも登録してもらう。,氏名住所などの個人情報を入力するだけで無料でマニュアルがもらえるようなので登録する。,登録は無料でも続けていくうちに高額なサポート料を請求されるサポート詐欺の恐れがあるため注意が必要です。それに加えて、氏名住所などの個人情報を入力する際は信頼できるサイトか確認が必要です。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""19715ff177cd2939.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
最近、「インターネットバンキングで知らない内に自分の口座のお金が他人の口座に送金されている。」という被害が相次いでいます。被害にあわないようにするための、正しい対策を選んでください。,パソコンやスマートフォンにウイルス対策ソフトを導入して、バージョンを最新の状態に保つ。,パソコンやスマートフォンのOSや各種ソフトウエアのバージョンを購入当時のまま維持する。,ログインしようとした際に不審な入力画面がメッセージが表示されても、そのままIDとパスワードを入力する。,ウイルス対策ソフトは、悪意のあるソフトウェアからデバイスを守る重要なツールです。ウイルス対策ソフトを最新の状態に保つことで、新たに発見された脅威に対する防御能力が向上します。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""19b15a510b316d41.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
宅配業者からショートメッセージで再配達の案内が届きました。身に覚えがありません。次のうち正しい対応はどれでしょうか。,メッセージを無視または削除する。,ショートメッセージにあるリンクをクリックする。,ショートメッセージにある電話番号に電話をかける。," メッセージが不審だと感じた場合は、そのメッセージを無視または削除しましょう。 宅配業者からの正式な再配達案内は、通常、公式のアプリやウェブサイトから確認できます。心配な場合は、宅配業者の公式サイトから再配達依頼を行うか、信頼できる電話番号で確認することが安全です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""222aa4d07f93815f.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
"SNSは、友達同士が手軽につながれる機能が大人気であるが、親しい友達に読んでもらうつも りで、今何をしているのか、今どこにいるのかといったことを日記に書いたりつぶやいたりしま した。あなたは、いつものように何も気にせずに続けますか？",個人情報を掲載したりつぶやいたりする場合は、それらの公開範囲の設定に細心の注意を払うようにする。,このまま、楽しく友人たちと日記代わりに使用する。,個人を特定される可能性もないので、このまま続ける。,"たとえ親しい友人同士の内容だけでも、どこの誰かにわからない情報を全て公開 していることがあるため、地名が分かるような写真等、個人特定に関することは 常に注意が必要です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""284eae7ebe437ab5.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
