問題文,正解の選択肢,不正解の選択肢1,不正解の選択肢2,解説,削除
スマホのロックについて正しいものはどれでしょうか？,簡単に推測されないパスワードを設定する。,忘れては困るので1111などの簡単なパスワードを設定する。,誰にスマホのデータを見られても困らないのでロックはかけない。,スマホの紛失や盗難に備え、簡単に推測されないパスワードや指紋認証でロックを設定しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""032a31da0d1872c5.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
SNSで簡単な操作だけで気軽に稼げるという副業を見つけました。正しい行動は次のうちどれでしょうか？,登録無料と書かれていても途中から有料となる可能性があるため登録しない。,登録が無料な上、友人を紹介したら特典があるようなので友人にも登録してもらう。,氏名住所などの個人情報を入力するだけで無料でマニュアルがもらえるようなので登録する。,登録は無料でも続けていくうちに高額なサポート料を請求されるサポート詐欺の恐れがあるため注意が必要です。それに加えて、氏名住所などの個人情報を入力する際は信頼できるサイトか確認が必要です。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""19715ff177cd2939.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
宅配業者からショートメッセージで再配達の案内が届きました。身に覚えがありません。次のうち正しい対応はどれでしょうか。,メッセージを無視または削除する。,ショートメッセージにあるリンクをクリックする。,ショートメッセージにある電話番号に電話をかける。," メッセージが不審だと感じた場合は、そのメッセージを無視または削除しましょう。 宅配業者からの正式な再配達案内は、通常、公式のアプリやウェブサイトから確認できます。心配な場合は、宅配業者の公式サイトから再配達依頼を行うか、信頼できる電話番号で確認することが安全です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""222aa4d07f93815f.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
"SNSは、友達同士が手軽につながれる機能が大人気であるが、親しい友達に読んでもらうつも りで、今何をしているのか、今どこにいるのかといったことを日記に書いたりつぶやいたりしま した。あなたは、いつものように何も気にせずに続けますか？",個人情報を掲載したりつぶやいたりする場合は、それらの公開範囲の設定に細心の注意を払うようにする。,このまま、楽しく友人たちと日記代わりに使用する。,個人を特定される可能性もないので、このまま続ける。,"たとえ親しい友人同士の内容だけでも、どこの誰かにわからない情報を全て公開 していることがあるため、地名が分かるような写真等、個人特定に関することは 常に注意が必要です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""284eae7ebe437ab5.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
公共のWi-Fi（無料Wi-Fi）を利用する際、特に注意すべきことは何ですか？,インターネットバンキングやオンラインショッピングを利用しない方が良い,Wi-Fiにパスワードを入力するだけで安全,無料のため、安全にすべての操作ができる,公共Wi-Fiは、セキュリティが十分でないことが多いため、パスワードやクレジットカード情報を入力するような重要な操作を避けるべきです。これらの情報が盗まれるリスクが高まります。可能な限りVPNを使用することが安全です。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""28dfb4808ed3481c.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
SNS（ソーシャルネットワーキングサービス）で公開した投稿や写真を後から削除したい場合、何が考慮すべき点ですか？,一度投稿した情報は完全に削除できないことがある,削除後、情報が広まることはない,すぐに削除すれば、すべての人から消える,SNSで公開した情報は、削除した後でも他の人が保存していたり、インターネット上に残る可能性があります。削除後に情報が広まることもあるため、慎重に投稿内容を考える必要があります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""31e764dfcc841bec.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ウォーキングサークルの募集のチラシを作成するために「ウォーキング　画像　無料」で検索しました。チラシに使用する際に正しい行動はどれでしょうか？,チラシに使用しても著作権上問題がないか、画像のリンク先で規約等を確認してからチラシに貼り付ける。,「無料」と検索したので全ての画像は無料でチラシに使うことができるので好きな画像をチラシに貼り付ける。,画像に透かし（サイト名やsample等）が入っているものの保存できるため、この画像をチラシに貼り付ける。,無料で検索したとしても使用方法によっては有料となるケースがあります。必ず規約を確認し、透かしが入っていないダウンロード用の画像を保存し使用してください。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""37d2f94650fec272.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
スマホに「あなたのスマホをロックしました、ロックを解除したければ指定の口座に入金してください」と表示され、操作ができなくなりました。次のうち誤っている対応はどれでしょうか。,急いで入金する。,スマホの利用を中断し、スマホの購入店舗に相談する。,以前作成したバックアップデータを用いてデータを復旧する。,ランサムウェアは感染した端末をロックしたり、端末内や共有ネットワーク上のファイルを暗号化して閲覧できなくするウィルスです。復旧と引き換えに身代金を要求してきますが、身代金を支払っても元に戻る保証はありません。バックアップデータを用いて復旧を試みるか、スマホの購入店や警察に相談しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""38352aee88991508.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
知らない電話番号に出たときに、「未納料金が発生しているため、法的措置へ移行いたします」といった自動音声が流れた場合、ガイダンスの指示通りに従いますか？,ちょうど家族がいたので、電話内容を相談し、指示通りにはしなかった。,法的措置をとられる、とりますのでと言われたため、ガイダンスの通り指示に従った。,指示通りにした後に、家族に相談した。,"自動音声ガイダンスを使用して未納料金 の支払い等を案内することはなく、こういった電話を着信した場合は着信拒否を 設定して無視する等して決して応じることのないようしてください。一人の時は 必ず相談もしましょう。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""47ba5866597c2f22.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
公衆のフリーWi-Fiを使うときに気を付けるべきことは次のうちどれでしょう。,自分の大切な情報を入力しない,フリーWi-Fiは安全なのでどんなサイトでもみてもよい,繋ぐことのできるフリーWi-FiならどこのWi-Fiを使ってもよい,誰でも自由に使えるサービスなので通信内容を盗み見される可能性がるため大切な情報は入力しない方がいい,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""5143191ff473065f.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto5""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
