問題番号,問題文,答え,解説
1,パスワードは友だちに教えても大丈夫。,×,パスワードは他人に教えないことが大切です。自分だけが知っているようにしましょう。
2,知らない人からのメールは開かずに削除したほうがいい。,〇,知らない人からのメールにはウイルスや詐欺が含まれていることがあります。注意が必要です。
3,公共のWi-Fiを使うときは、重要な情報を送るのを避けたほうがいい。,〇,公共のWi-Fiはセキュリティが弱いことがあり、情報が盗まれる危険があります。
4,誕生日や「1234」などの簡単なパスワードを使うのが一番安全だ。,×,簡単なパスワードはすぐに推測されてしまいます。強いパスワードを使いましょう。
5,ソフトウェアのアップデートはできるだけ後回しにするべきだ。,×,アップデートにはセキュリティの改善が含まれているので、すぐに行うことが大切です。
6,知らない人からSNSで友だち申請が来たら、すぐに承認しても大丈夫。,×,知らない人は信用せず、慎重に判断しましょう。怪しいアカウントの可能性があります。
7,ウイルス対策ソフトを入れると、コンピュータを守る助けになります。,〇,ウイルス対策ソフトはコンピュータを保護し、ウイルスを防ぐ役割を果たします。
8,SNSに写真を投稿するときは、個人情報がわからないように気をつけるべきだ。,〇,写真から住所や学校が分かると危険なので、注意が必要です。
9,ネットで知り合った人にはすぐに会いに行くべきだ。,×,ネットで知り合った人と会うのは危険です。保護者に相談しましょう。
10,不審なリンクをクリックすると、ウイルスに感染する可能性がある。,〇,不審なリンクはクリックせず、慎重に確認しましょう。
